Length	Freq
1	24
2	79
3	670
4	2500
5	4916
6	8488
7	11347
8	13655
9	14535
10	13583
11	11322
12	8622
13	6154
14	3883
15	2436
16	1351
17	754
18	363
19	199
20	96
21	44
22	19
23	6
24	1
28	1
